Date,Open,High,Low,Close,Adj Close,Volume
2000-02-22,112.000000,113.437500,108.750000,111.000000,72.438194,7654800
2000-02-23,110.500000,110.500000,108.500000,108.750000,70.969841,7435300
2000-02-24,108.812500,111.000000,108.187500,110.500000,72.111893,9112000
2000-02-25,109.875000,109.875000,104.937500,108.000000,70.480423,10312200
2000-02-28,104.625000,106.500000,103.937500,104.500000,68.196335,8479900
2000-02-29,105.562500,105.562500,100.937500,102.750000,67.054291,10484900
2000-03-01,102.000000,105.500000,100.062500,100.250000,65.422813,10807800
2000-03-02,100.500000,105.437500,99.500000,103.125000,67.299004,11192900
2000-03-03,107.250000,110.000000,106.062500,108.000000,70.480423,10162800
2000-03-06,109.937500,111.000000,101.000000,103.062500,67.258224,10747400
2000-03-07,106.000000,107.000000,101.687500,103.000000,67.217461,10035100
2000-03-08,103.000000,106.875000,102.750000,106.250000,69.338348,8376400
2000-03-09,106.500000,108.000000,104.125000,108.000000,70.480423,6334100
2000-03-10,107.625000,109.000000,105.000000,105.250000,68.685791,7093200
2000-03-13,104.000000,109.000000,102.500000,107.687500,70.276489,7871000
2000-03-14,107.750000,110.000000,107.375000,108.625000,70.888313,7973700
2000-03-15,107.500000,108.250000,106.125000,107.000000,69.827827,5665900
2000-03-16,109.000000,109.812500,107.875000,109.000000,71.133026,6622500
2000-03-17,108.250000,111.687500,107.687500,110.000000,71.785606,8857300
2000-03-20,110.000000,113.375000,109.937500,112.750000,73.580246,6563500
2000-03-21,112.812500,114.687500,111.937500,113.500000,74.069710,6771600
2000-03-22,114.500000,115.375000,113.875000,114.250000,74.559158,6137800
2000-03-23,115.875000,115.875000,111.625000,115.250000,75.211731,6492400
2000-03-24,115.375000,122.250000,115.062500,120.625000,78.719421,12125600
2000-03-27,125.000000,128.250000,124.625000,126.875000,82.798172,11862900
2000-03-28,125.750000,127.000000,122.062500,122.500000,79.943069,8149600
2000-03-29,122.312500,122.437500,118.500000,119.000000,77.658997,7312300
2000-03-30,118.875000,123.000000,118.687500,122.750000,80.106194,9158000
2000-03-31,122.625000,123.750000,117.062500,118.375000,77.251106,8015200
2000-04-03,120.000000,122.375000,119.437500,122.000000,79.616753,7715600
2000-04-04,121.500000,126.937500,115.062500,121.187500,79.086540,16667200
2000-04-05,120.500000,125.750000,119.750000,125.000000,81.574562,8693500
2000-04-06,123.500000,128.000000,122.625000,122.750000,80.106194,8887400
2000-04-07,123.500000,125.687500,121.500000,123.125000,80.350929,5380300
2000-04-10,124.750000,125.375000,121.562500,122.125000,79.698372,5507300
2000-04-11,121.625000,121.625000,117.812500,119.375000,77.903702,7738700
2000-04-12,119.625000,119.625000,111.687500,113.750000,74.232849,8885200
2000-04-13,112.500000,114.312500,110.000000,110.625000,72.193481,8236400
2000-04-14,109.812500,112.750000,102.875000,105.000000,68.522636,11782000
2000-04-17,103.875000,112.250000,103.312500,111.875000,73.009254,9969500
2000-04-18,112.250000,115.125000,110.062500,111.500000,72.764526,8205500
2000-04-19,109.750000,109.750000,102.812500,105.000000,68.522636,14674500
